MonthDay,mean,sd1,sd1low,sd2,sd2low,Block,MonthDayYear
08-02,303.798611111111,303.798611111111,303.798611111111,303.798611111111,303.798611111111,2021,2000-08-02
08-03,313.881944444444,313.881944444444,313.881944444444,313.881944444444,313.881944444444,2021,2000-08-03
08-04,312.135416666667,312.135416666667,312.135416666667,312.135416666667,312.135416666667,2021,2000-08-04
08-05,306.534722222222,306.534722222222,306.534722222222,306.534722222222,306.534722222222,2021,2000-08-05
08-06,304.354166666667,304.354166666667,304.354166666667,304.354166666667,304.354166666667,2021,2000-08-06
08-07,290.045138888889,290.045138888889,290.045138888889,290.045138888889,290.045138888889,2021,2000-08-07
08-08,273.430555555556,273.430555555556,273.430555555556,273.430555555556,273.430555555556,2021,2000-08-08
08-09,261.982638888889,261.982638888889,261.982638888889,261.982638888889,261.982638888889,2021,2000-08-09
08-10,260.486111111111,260.486111111111,260.486111111111,260.486111111111,260.486111111111,2021,2000-08-10
08-11,265.75,265.75,265.75,265.75,265.75,2021,2000-08-11
08-12,267.121527777778,267.121527777778,267.121527777778,267.121527777778,267.121527777778,2021,2000-08-12
08-13,258.78125,258.78125,258.78125,258.78125,258.78125,2021,2000-08-13
08-14,260.461805555556,260.461805555556,260.461805555556,260.461805555556,260.461805555556,2021,2000-08-14
08-15,259.829861111111,259.829861111111,259.829861111111,259.829861111111,259.829861111111,2021,2000-08-15
08-16,260.229166666667,260.229166666667,260.229166666667,260.229166666667,260.229166666667,2021,2000-08-16
08-17,254.857638888889,254.857638888889,254.857638888889,254.857638888889,254.857638888889,2021,2000-08-17
08-18,233.364583333333,233.364583333333,233.364583333333,233.364583333333,233.364583333333,2021,2000-08-18
08-19,228.666666666667,228.666666666667,228.666666666667,228.666666666667,228.666666666667,2021,2000-08-19
08-20,221.8125,221.8125,221.8125,221.8125,221.8125,2021,2000-08-20
08-21,207.951388888889,207.951388888889,207.951388888889,207.951388888889,207.951388888889,2021,2000-08-21
08-22,203.177083333333,203.177083333333,203.177083333333,203.177083333333,203.177083333333,2021,2000-08-22
08-23,195.215277777778,195.215277777778,195.215277777778,195.215277777778,195.215277777778,2021,2000-08-23
08-24,179.829861111111,179.829861111111,179.829861111111,179.829861111111,179.829861111111,2021,2000-08-24
08-25,164.895833333333,164.895833333333,164.895833333333,164.895833333333,164.895833333333,2021,2000-08-25
08-26,151.815972222222,151.815972222222,151.815972222222,151.815972222222,151.815972222222,2021,2000-08-26
08-27,143.798611111111,143.798611111111,143.798611111111,143.798611111111,143.798611111111,2021,2000-08-27
08-28,139.743055555556,139.743055555556,139.743055555556,139.743055555556,139.743055555556,2021,2000-08-28
08-29,139.326388888889,139.326388888889,139.326388888889,139.326388888889,139.326388888889,2021,2000-08-29
08-30,143.1875,143.1875,143.1875,143.1875,143.1875,2021,2000-08-30
08-31,151.625,151.625,151.625,151.625,151.625,2021,2000-08-31
